item_id,programme_id,level,item_name,part
CS2-L35,CS2,35,Nested Conditionals,
CS2-L36,CS2,36,Functions,
CS2-L37,CS2,37,Functions,
CS2-L38,CS2,38,Functions,
CS2-L39,CS2,39,Functions,
CS2-L40,CS2,40,Functions,
CS2-L41,CS2,41,Event Listeners,
CS2-L42,CS2,42,Event Listeners,
CS2-L43,CS2,43,Event Listeners,
CS2-L44,CS2,44,Event Listeners,
CS2-L45,CS2,45,Event Listeners,
CS2-L46,CS2,46,Event Listeners,
CS3-L1,CS3,1,Boolean Logic,
CS3-L2,CS3,2,Boolean Logic,
CS3-L3,CS3,3,Boolean Logic,
CS3-L4,CS3,4,Boolean Logic,
CS3-L5,CS3,5,Boolean Logic,
CS3-L6,CS3,6,Boolean Logic,
CS3-L7,CS3,7,Boolean Logic,
CS3-L8,CS3,8,Boolean Logic,
CS3-L9,CS3,9,Boolean Logic,
CS3-L10,CS3,10,Boolean Logic,
CS3-L11,CS3,11,Object Properties,
CS3-L12,CS3,12,Object Properties,
CS3-L13,CS3,13,Object Properties,
CS3-L14,CS3,14,Object Properties,
CS3-L15,CS3,15,Object Properties,
CS3-L16,CS3,16,Object Properties,
CS3-L17,CS3,17,Object Properties,
CS3-L18,CS3,18,Object Properties,
CS3-L19,CS3,19,Object Properties,
CS3-L20,CS3,20,Object Properties,
CS3-L21,CS3,21,Loop Control,
CS3-L22,CS3,22,Loop Control,
CS3-L23,CS3,23,Loop Control,
CS3-L24,CS3,24,Loop Control,
CS3-L25,CS3,25,Loop Control,
CS3-L26,CS3,26,Loop Control,
CS3-L27,CS3,27,Loop Control,
CS3-L28,CS3,28,Interactive Flags,
CS3-L29,CS3,29,Interactive Flags,
CS3-L30,CS3,30,Interactive Flags,
CS3-L31,CS3,31,Interactive Flags,
CS3-L32,CS3,32,Interactive Flags,
CS4-L1,CS4,1,Arrays and Lists,
CS4-L2,CS4,2,Arrays and Lists,
CS4-L3,CS4,3,Arrays and Lists,
CS4-L4,CS4,4,Arrays and Lists,
CS4-L5,CS4,5,Arrays and Lists,
CS4-L6,CS4,6,Arrays and Lists,
CS4-L7,CS4,7,Arrays and Lists,
CS4-L8,CS4,8,Arrays and Lists,
CS4-L9,CS4,9,Arrays and Lists,
CS4-L10,CS4,10,Arrays and Lists,
CS4-L11,CS4,11,Arrays and Lists,
CS4-L12,CS4,12,Arrays and Lists,
CS4-L13,CS4,13,For Loops,
CS4-L14,CS4,14,For Loops,
CS4-L15,CS4,15,For Loops,
CS4-L16,CS4,16,For Loops,
CS4-L17,CS4,17,For Loops,
CS4-L18,CS4,18,For Loops,
CS4-L19,CS4,19,For Loops,
