item_id,programme_id,programme_name,kit,level,sequence,item_name
ROB-Level 5-5.0,ROB-Level 5,ROBOKIT Level 5,ROBOKIT,Level 5,5.0,DancingBot
ROB-Level 5-6.0,ROB-Level 5,ROBOKIT Level 5,ROBOKIT,Level 5,6.0,DriftBot
ROB-Level 5-7.0,ROB-Level 5,ROBOKIT Level 5,ROBOKIT,Level 5,7.0,BowlingBot
ROB-Level 5-8.0,ROB-Level 5,ROBOKIT Level 5,ROBOKIT,Level 5,8.0,PelicanBot
ROB-Level 6-1.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,1.0,SpinBot
ROB-Level 6-2.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,2.0,LizardBot
ROB-Level 6-3.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,3.0,GolfBot
ROB-Level 6-4.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,4.0,CrazyBot
ROB-Level 6-5.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,5.0,ShootingBot
ROB-Level 6-6.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,6.0,WindbikeBot
ROB-Level 6-7.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,7.0,NeroBot
ROB-Level 6-8.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,8.0,ScorpionBot
ROB-Level 6-9.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,9.0,FutureBot
ROB-Level 6-10.0,ROB-Level 6,ROBOKIT Level 6,ROBOKIT,Level 6,10.0,GiantCarBot
ROB-Level 7-1.0,ROB-Level 7,ROBOKIT Level 7,ROBOKIT,Level 7,1.0,GumdoBot
ROB-Level 7-2.0,ROB-Level 7,ROBOKIT Level 7,ROBOKIT,Level 7,2.0,AutomationBot
ROB-Level 7-3.0,ROB-Level 7,ROBOKIT Level 7,ROBOKIT,Level 7,3.0,PowerBattleBot
ROB-Level 7-4.0,ROB-Level 7,ROBOKIT Level 7,ROBOKIT,Level 7,4.0,FutureBot
ROB-Level 7-5.0,ROB-Level 7,ROBOKIT Level 7,ROBOKIT,Level 7,5.0,VendingMachineBot
ROB-Level 8-1.0,ROB-Level 8,ROBOKIT Level 8,ROBOKIT,Level 8,1.0,BowBot
ROB-Level 8-2.0,ROB-Level 8,ROBOKIT Level 8,ROBOKIT,Level 8,2.0,BuldozerBot
ROB-Level 8-3.0,ROB-Level 8,ROBOKIT Level 8,ROBOKIT,Level 8,3.0,OffroadBot
ROB-Level 8-4.0,ROB-Level 8,ROBOKIT Level 8,ROBOKIT,Level 8,4.0,RubbergunBot
ROB-Level 8-5.0,ROB-Level 8,ROBOKIT Level 8,ROBOKIT,Level 8,5.0,LoaderBot
ROB-Level 8-6.0,ROB-Level 8,ROBOKIT Level 8,ROBOKIT,Level 8,6.0,PenguinBot
ROB-Level 8-7.0,ROB-Level 8,ROBOKIT Level 8,ROBOKIT,Level 8,7.0,ErrandBot
ROB-Level 8-8.0,ROB-Level 8,ROBOKIT Level 8,ROBOKIT,Level 8,8.0,TractorBot
ROB-Level 8-9.0,ROB-Level 8,ROBOKIT Level 8,ROBOKIT,Level 8,9.0,CraneBot
UAR-Lv1-1.0,UAR-Lv1,UARO Lv1,UARO,Lv1,1.0,Robot Friend
UAR-Lv1-2.0,UAR-Lv1,UARO Lv1,UARO,Lv1,2.0,Swing
UAR-Lv1-3.0,UAR-Lv1,UARO Lv1,UARO,Lv1,3.0,Desk & Chair
UAR-Lv1-4.0,UAR-Lv1,UARO Lv1,UARO,Lv1,4.0,School Bus
UAR-Lv1-5.0,UAR-Lv1,UARO Lv1,UARO,Lv1,5.0,Picture Frame
UAR-Lv1-6.0,UAR-Lv1,UARO Lv1,UARO,Lv1,6.0,Puppy
UAR-Lv1-7.0,UAR-Lv1,UARO Lv1,UARO,Lv1,7.0,Frog
UAR-Lv1-8.0,UAR-Lv1,UARO Lv1,UARO,Lv1,8.0,Butterfly
UAR-Lv1-9.0,UAR-Lv1,UARO Lv1,UARO,Lv1,9.0,Fire Truck
UAR-Lv1-10.0,UAR-Lv1,UARO Lv1,UARO,Lv1,10.0,Giraffe
UAR-Lv1-11.0,UAR-Lv1,UARO Lv1,UARO,Lv1,11.0,Ambulance
UAR-Lv1-12.0,UAR-Lv1,UARO Lv1,UARO,Lv1,12.0,Crane
UAR-Lv2-1.0,UAR-Lv2,UARO Lv2,UARO,Lv2,1.0,Pterosaur
UAR-Lv2-2.0,UAR-Lv2,UARO Lv2,UARO,Lv2,2.0,Bird
UAR-Lv2-3.0,UAR-Lv2,UARO Lv2,UARO,Lv2,3.0,Snail
UAR-Lv2-4.0,UAR-Lv2,UARO Lv2,UARO,Lv2,4.0,Scorpion
UAR-Lv2-5.0,UAR-Lv2,UARO Lv2,UARO,Lv2,5.0,Fan
UAR-Lv2-6.0,UAR-Lv2,UARO Lv2,UARO,Lv2,6.0,Germ
UAR-Lv2-7.0,UAR-Lv2,UARO Lv2,UARO,Lv2,7.0,Crab
UAR-Lv2-8.0,UAR-Lv2,UARO Lv2,UARO,Lv2,8.0,Beetle
UAR-Lv2-9.0,UAR-Lv2,UARO Lv2,UARO,Lv2,9.0,Goblin
UAR-Lv2-10.0,UAR-Lv2,UARO Lv2,UARO,Lv2,10.0,Drummer
UAR-Lv2-11.0,UAR-Lv2,UARO Lv2,UARO,Lv2,11.0,Hibiscus
UAR-Lv2-12.0,UAR-Lv2,UARO Lv2,UARO,Lv2,12.0,Catapult
UAR-Lv3-1.0,UAR-Lv3,UARO Lv3,UARO,Lv3,1.0,Wrestling Bot
UAR-Lv3-2.0,UAR-Lv3,UARO Lv3,UARO,Lv3,2.0,Board Game Bot
UAR-Lv3-3.0,UAR-Lv3,UARO Lv3,UARO,Lv3,3.0,Soccer Bot
UAR-Lv3-4.0,UAR-Lv3,UARO Lv3,UARO,Lv3,4.0,Bull
UAR-Lv3-5.0,UAR-Lv3,UARO Lv3,UARO,Lv3,5.0,Dragonfly
UAR-Lv3-6.0,UAR-Lv3,UARO Lv3,UARO,Lv3,6.0,Scarecrow
UAR-Lv3-7.0,UAR-Lv3,UARO Lv3,UARO,Lv3,7.0,Tractor
UAR-Lv3-8.0,UAR-Lv3,UARO Lv3,UARO,Lv3,8.0,Helper Bot
UAR-Lv3-9.0,UAR-Lv3,UARO Lv3,UARO,Lv3,9.0,Yacht
UAR-Lv3-10.0,UAR-Lv3,UARO Lv3,UARO,Lv3,10.0,Bicycle
UAR-Lv3-11.0,UAR-Lv3,UARO Lv3,UARO,Lv3,11.0,Helicopter
UAR-Lv3-12.0,UAR-Lv3,UARO Lv3,UARO,Lv3,12.0,Train
UAR-Lv4-1.0,UAR-Lv4,UARO Lv4,UARO,Lv4,1.0,Ski Bot
UAR-Lv4-2.0,UAR-Lv4,UARO Lv4,UARO,Lv4,2.0,Hockey Bot
UAR-Lv4-3.0,UAR-Lv4,UARO Lv4,UARO,Lv4,3.0,Rudolph
UAR-Lv4-4.0,UAR-Lv4,UARO Lv4,UARO,Lv4,4.0,Snowplow
UAR-Lv4-5.0,UAR-Lv4,UARO Lv4,UARO,Lv4,5.0,Firefly
UAR-Lv4-6.0,UAR-Lv4,UARO Lv4,UARO,Lv4,6.0,Dinosaur
UAR-Lv4-7.0,UAR-Lv4,UARO Lv4,UARO,Lv4,7.0,Rhino
UAR-Lv4-8.0,UAR-Lv4,UARO Lv4,UARO,Lv4,8.0,Melody Doll
UAR-Lv4-9.0,UAR-Lv4,UARO Lv4,UARO,Lv4,9.0,Cleaning Bot
UAR-Lv4-10.0,UAR-Lv4,UARO Lv4,UARO,Lv4,10.0,Exploring Bot
UAR-Lv4-11.0,UAR-Lv4,UARO Lv4,UARO,Lv4,11.0,Military Bot
UAR-Lv4-12.0,UAR-Lv4,UARO Lv4,UARO,Lv4,12.0,Humanoid
